a52dec 0.7.4-12
lsb-release 2.0.r48.3cf5103-1
lsscsi 0.32-1
lua 5.4.4-3
lua51 5.1.5-9
luajit 2.1.0.beta3.r471.g505e2c03-1
lv2 1.18.10-1
lvm2 2.03.20-1
lxappearance 0.6.3-4
lxrandr 0.3.2-3
lz4 1:1.9.4-1
lzo 2.10-5
lzop 1.04-3
m4 1.4.19-3
mailcap 2.1.53-1
make 4.4.1-2
mako 1.7.1-3
man-db 2.11.2-1
man-pages 6.04-1
mc 4.8.29-2
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
memtest86+ 6.10-1
memtest86+-efi 6.10-1
mesa 23.0.2-2
micro 2.0.11-4
mintstick-git r264.750c6bb-1
mjpegtools 2.2.1-1
mkinitcpio 35.2-1
mkinitcpio-archiso 68-1
mkinitcpio-busybox 1.35.0-1
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20221107-2
modemmanager 1.20.6-1
most 5.2.0-1
mpfr 4.2.0-3
mpg123 1.31.3-1
mpv 1:0.35.1-4
mtdev 1.1.6-2
mtools 1:4.0.43-1
mtpfs 1.1-4
mujs 1.3.3-1
nano 7.2-1
nbd 3.24-2
ncurses 6.4-1
ndctl 76.1-1
ndisc6 1.0.7-1
neofetch 7.1.0-2
neon 0.32.5-1
net-tools 2.10-2
nettle 3.8.1-1
network-manager-applet 1.32.0-1
networkmanager 1.42.4-2
networkmanager-openconnect 1.2.8-2
networkmanager-openvpn 1.10.2-1
networkmanager-pptp 1.2.12-1
networkmanager-vpnc 1.2.8-3
nfs-utils 2.6.2-1
nfsidmap 2.6.2-1
nftables 1:1.0.7-1
nilfs-utils 2.2.9-2
nm-connection-editor 1.32.0-1
nomacs 1:3.17.2206-12
noto-fonts 20230401-1
npth 1.6-4
nspr 4.35-1
nss 3.89-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p15-3
numactl 2.0.16-1
numlockx 1.2-5
nvidia-dkms 530.41.03-1
nvidia-settings 530.41.03-1
nvidia-utils 530.41.03-1
nvme-cli 2.4-1
oath-toolkit 2.6.7-1
ocl-icd 2.3.1-1
oh-my-zsh-git r6871.b4f969873-1
onetbb 2021.8.0-2
oniguruma 6.9.8-1
open-iscsi 2.1.8-2
open-isns 0.102-2
open-vm-tools 6:12.2.0-1
openal 1.23.1-1
opencl-headers 2:2022.09.30-1
openconnect 1:9.01-2
opencore-amr 0.1.6-1
opencv 4.7.0-7
openexr 3.1.7-1
openjpeg2 2.5.0-2
openmpi 4.1.5-1
openpmix 4.2.3-2
openresolv 3.12.0-1
openssh 9.3p1-1
openssl 3.0.8-1
openvpn 2.6.3-1
opus 1.3.1-3
orc 0.4.33-1
os-prober 1.81-1
ostree 2023.2-1
p11-kit 0.24.1-1
p7zip 1:17.05-1
pacman 6.0.2-6
pacman-contrib 1.9.0-1
pacman-mirrorlist 20230410-1
pahole 1:1.24+r29+g02d67c5-1
pam 1.5.2-1
pamac-cli 10.5.0-1
pamac-gtk 10.5.0-1
pambase 20221020-1
pamixer 1.6-2
pango 1:1.50.14-1
pangomm 2.46.3-1
partclone 0.3.23-1
parted 3.6-1
partimage 0.6.9-14
paru-bin 1.11.2-1
patch 2.7.6-9
pavucontrol 1:5.0+r61+gee77d86-2
pbzip2 1.1.13-3
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
perl 5.36.0-3
perl-clone 0.46-1
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.17-1
perl-www-robotrules 6.02-11
perl-xml-parser 2.46-4
perl-xml-writer 0.900-1
picom 10.2-1
pigz 2.7-3
pinentry 1.2.1-1
pipewire 1:0.3.69-2
pixman 0.42.2-1
pixz 1.0.7-4
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
pkgfile 21-2
plasma-framework 5.105.0-1
playerctl 2.4.1-3
polkit 122-1
polkit-gnome 0.105-10
polkit-qt5 0.114.0-1
poppler 23.03.0-1
poppler-data 0.4.12-1
poppler-glib 23.03.0-1
poppler-qt5 23.03.0-1
popt 1.19-1
portaudio 1:19.7.0-2
ppp 2.4.9-3
pptpclient 1.10.0-3
procps-ng 3.3.17-1
protobuf 21.12-1
psmisc 23.6-1
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-bluetooth 16.1-6
pv 1.6.20-2
python 3.10.10-1
python-autocommand 2.2.2-1
python-beautifulsoup4 4.11.2-1
python-cairo 1.23.0-3
python-chardet 5.1.0-1
python-configobj 5.0.6.r110.g3e2f4cc-3
python-distro 1.8.0-2
python-docopt 0.6.2-11
python-fastjsonschema 2.16.3-1
python-gobject 3.44.1-1
python-httplib2 0.22.0-1
python-idna 3.4-1
python-inflect 6.0.4-1
python-jaraco.context 4.3.0-1
python-jaraco.functools 3.6.0-1
python-jaraco.text 3.11.1-1
python-keyutils 0.6-8
python-lxml 4.9.2-1
python-more-itertools 9.1.1-1
python-numpy 1.24.2-1
python-ordered-set 4.1.0-1
python-packaging 23.0-1
python-pillow 9.4.0-2
python-platformdirs 3.2.0-1
python-psutil 5.9.4-1
python-pycups 2.0.1-5
python-pycurl 7.45.2-1
python-pydantic 1.10.7-2
python-pyparsing 3.0.9-1
python-pyparted 3.11.7-2
python-pywal 3.3.0-7
python-requests 2.28.2-1
python-send2trash 1.8.0-3
python-setproctitle 1.3.2-1
python-setuptools 1:67.6.1-1
python-six 1.16.0-6
python-soupsieve 2.4-1
python-tomli 2.0.1-1
python-trove-classifiers 2023.3.9-1
python-typing_extensions 4.5.0-1
python-urllib3 1.26.13-1
python-validate-pyproject 0.12.2-1
python-xapp 2.4.0-1
python-yaml 6.0-1
qca-qt5 2.3.5-2
qemu-guest-agent 7.2.1-1
qpdf 11.3.0-1
qrencode 4.1.1-2
qt5-base 5.15.9+kde+r151-1
qt5-declarative 5.15.9+kde+r23-1
qt5-graphicaleffects 5.15.9-1
qt5-multimedia 5.15.9+kde+r3-1
qt5-quickcontrols 5.15.9-1
qt5-quickcontrols2 5.15.9+kde+r5-1
qt5-speech 5.15.9+kde+r1-1
qt5-svg 5.15.9+kde+r7-1
qt5-translations 5.15.9-1
qt5-wayland 5.15.9+kde+r55-1
qt5-x11extras 5.15.9-1
qt5-xmlpatterns 5.15.9-1
qt5ct 1.7-1
qt6-base 6.5.0-3
qt6-declarative 6.5.0-2
qt6-translations 6.5.0-1
qt6-wayland 6.5.0-2
quazip-qt5 1.4-1
raptor 2.0.16-2
rate-mirrors-bin 0.15.0-1
rav1e 0.6.3-1
readline 8.2.001-2
refind 0.14.0.2-1
reflector 2021.11-6
reiserfsprogs 3.6.27-4
ripgrep 13.0.0-3
rofi-lbonn-wayland-only-git 1.7.5.wayland1.r41.g61f96e4c-1
rp-pppoe 3.15-2
rpcbind 1.2.6-3
rsync 3.2.7-4
rtkit 0.13-2
rtl8821cu-morrownr-dkms-git 5.12.0.4.148.9636664-1
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.2.1-1
run-parts 5.5-1
rxvt-unicode 9.31-1
rxvt-unicode-terminfo 9.31-1
sbc 2.0-1
screen 4.9.0-1
sddm 0.20.0-2
sdl2 2.26.5-1
sdparm 1.12-1
seatd 0.7.0-3
sed 4.9-3
serd 0.30.16-1
sg3_utils 1.47-1
shaderc 2023.3-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
slurp 1.4.0-1
smartmontools 7.3-1
smbclient 4.18.2-1
snapd 2.58.3-1
snapd-glib 1.63-3
sndio 1.9.0-1
sof-firmware 2.2.4-1
solid 5.105.0-1
sonnet 5.105.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-4
spdlog 1.11.0-2
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.41.2-1
squashfs-tools 4.6.1-1
sratom 0.6.14-1
srt 1.5.1-3
sshfs 3.7.3-1
startup-notification 0.12-7
stoken 0.92-4
sudo 1.9.13.p3-1
svt-av1 1.4.1-1
svt-hevc 1.5.1-2
swaybg 1.2.0-1
swayidle 1.8.0-1
swaylock 1.7.2-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.18-1
systemd 253.3-3
systemd-libs 253.3-3
systemd-sysvcompat 253.3-3
taglib 1.13-1
talloc 2.4.0-2
tar 1.34-2
tcl 8.6.13-1
tcpdump 4.99.3-1
tdb 1.4.8-1
terminus-font 4.49.1-5
testdisk 7.1-5
tevent 1:0.14.1-1
texinfo 7.0.3-1
the_silver_searcher 2.2.0-2
thin-provisioning-tools 1.0.3-1
